language_long	num_surviving_baseline	num_surviving_comma	num_surviving_edit_distance	num_surviving_remove_parenthesis	num_surviving_remove_parenthesis_permute_comma
global	71241097	70622600	70538549	70838566	70238713
Afar	25921	25918	25900	25918	25915
Abkhaz	386	363	356	383	360
Ambonese	3	3	3	3	3
Acehnese	82636	82613	82529	82614	82591
Adyghe	189	189	178	189	189
Adyghe in Cyrillic script	151	151	151	151	151
Tunisian Arabic	163	163	163	163	163
Tunisian Arabic in Arabic script	2482	2482	2377	2477	2477
Tunisian Arabic in Latin script	1448	1448	1445	1448	1448
Afrikaans	209961	209709	209505	207719	207517
Akan Wiktionary	26550	26545	26527	26545	26540
Gheg Albanian	23644	23643	23628	23644	23643
Swiss German	130	130	128	126	126
Amharic	1464	1464	1296	1461	1461
Aragonese	181399	181278	181044	181166	181058
Old English	28380	28373	28292	28380	28373
Angika	182	182	182	182	182
Arabic	525712	525696	516688	521251	521236
Aramaic	312	312	294	311	311
Mapudungun	23482	23482	23455	23482	23482
Algerian Arabic	463	463	453	463	463
Moroccan Arabic	5059	5059	4939	5053	5053
Egyptian Arabic	646696	646693	638987	638438	638435
Assamese	4468	4467	4431	4458	4457
Asturian	4264515	4256225	4255278	4263747	4255581
Atikamekw	778	776	778	778	776
Avaric	345	339	325	345	339
Kotava	1146	1146	1137	1138	1138
Awadhi	277	277	276	274	274
Aymara	27463	27460	27433	27463	27460
Azerbaijani	57617	57598	56209	57247	57231
South Azerbaijani	79149	79145	75565	75072	75068
Bashkir language	7108	7078	2334	7042	7012
Balinese	639	639	635	637	637
Bavarian	215284	214984	214963	214951	214669
Toba Batak	285	285	285	285	285
Batak Toba in Latin script	1449	1449	1446	1449	1449
Southern Balochi	189	189	189	189	189
Central Bikol	27741	27716	27704	27729	27704
Belarusian	36540	36048	33675	36448	35959
Taraškievica	16932	16920	16724	16884	16872
Bulgarian	63621	63374	61486	61238	61012
Western Balochi	151	151	151	151	151
Bhojpuri	1906	1905	1883	1896	1895
Bislama Wiktionary	26462	26459	26441	26462	26459
Banjar	75918	75910	75820	75899	75891
Bambara	76794	76727	76734	76792	76725
Bengali	60305	60198	59371	59753	59678
Tibetan	967	967	966	967	967
Bishnupriya Manipuri	308	308	301	307	307
Bakhtiari	190	190	190	190	190
Breton	195185	194989	194725	195070	194875
Brahui language	23199	23199	23182	23199	23199
Bosnian	68477	68113	68235	68426	68065
Mandailing	2	2	2	2	2
Rinconada Bikol	335	335	335	335	335
Buginese	51759	51755	51684	51742	51738
Russia Buriat	488	477	440	488	477
Catalan	2243680	2237849	2235435	2240058	2234276
Zamboanga Chavacano	26183	26179	26157	26183	26179
Min Dong	26353	26350	26217	26353	26350
Chechen	2187	1565	1518	2179	1559
Cebuano	46441	46401	46353	46431	46392
Chamorro	25788	25785	25767	25788	25785
Choctaw	25712	25709	25691	25712	25709
Cherokee	23269	23269	23247	23269	23269
Cheyenne	25780	25777	25759	25780	25777
Sorani	5040	5039	4902	5027	5026
Corsican	203419	203309	203141	203324	203218
Capiznon	338	338	338	338	338
Cree Wikiquote	25615	25612	25594	25615	25612
Crimean Tatar	502	501	470	501	500
Crimean Tatar Cyrillic alphabet	184	184	184	184	184
Crimean Tatar Latin alphabet	26089	26085	26039	26087	26083
Czech	665811	660907	660810	649347	646414
Kashubian	26917	26914	26887	26917	26914
Old Church Slavonic	21253	21253	21230	21253	21253
Chuvash	3752	3734	1170	3714	3696
Welsh	412271	410391	411649	412046	410171
Danish	1276622	1271757	1271845	1269800	1265045
Dagbani	131	131	130	131	131
German	3012391	3001369	3000721	3008065	2997477
Austrian German	133839	133736	133648	133728	133634
Swiss Standard German	137405	137114	137003	137186	136916
formal address in German	11	11	11	10	10
Dinka	420	419	418	419	418
Zazaki	32888	32880	32830	32845	32838
Lower Sorbian	63770	63746	63645	63563	63548
Kadazandusun	24335	24331	24317	24335	24331
Doteli	1152	1152	1145	1152	1152
Dhivehi	437	437	428	428	428
Dzongkha	197	197	197	197	197
Ewe	33013	33009	32948	33011	33007
Emilian	3226	3220	3224	3226	3220
Modern Greek	84859	83685	81066	84469	83300
Emilian-Romagnol	30376	30369	30339	30369	30362
English	7808906	7752033	7804131	7753002	7697551
Canadian English	176997	174295	176747	176881	174190
British English	199051	196255	198748	198896	196112
Esperanto	217179	216771	215698	216114	215717
Spanish	4565168	4544709	4553134	4558341	4538124
Latin American Spanish	468	467	442	467	466
formal Spanish	36	36	36	36	36
Estonian	232707	232526	232035	232242	232070
Basque	269800	269536	269119	269517	269254
Extremaduran	33974	33963	33941	33972	33961
Persian	205877	205854	202122	203790	203767
Fula	26159	26155	26137	26158	26154
Finnish	983783	979817	981383	976694	973345
Meänkieli	28152	28147	28129	28151	28146
Fijian	26173	26169	26151	26173	26169
kven	2	2	2	2	2
Faroese	61723	61714	61659	61709	61700
French	3079421	3071922	3068652	3076870	3069579
Louisiana French	54479	54411	54439	54477	54409
Franco-Provençal	110925	110851	110822	110919	110845
North Frisian	66520	66475	66387	66268	66235
Friulian	131655	131580	131515	131645	131570
West Frisian	52026	51986	51879	51897	51859
Irish	1548210	1547974	1547049	1548135	1547900
Gagauz	26054	26050	26033	26054	26050
Gan	682	682	682	682	682
simplified Gan	386	386	386	386	386
traditional Gan	378	378	378	378	378
Guianan Creole	126	126	124	123	123
Scottish Gaelic	139365	139162	139182	139346	139143
Galician	415342	413617	413917	414584	413005
Gilaki	344	344	339	343	343
Guarani	26272	26269	26246	26271	26268
Goan Konkani	575	549	532	573	547
Goan Konkani in Devanagari script	193	181	178	193	181
Goan Konkani in Latin script	1500	1500	1494	1500	1500
Gorontalo	26396	26392	26322	26395	26391
Gothic	23499	23499	23477	23498	23498
Ancient Greek	1042	1041	1030	1042	1041
Alemannic	191174	190840	190841	190865	190546
Gujarati	4009	4005	3942	3999	3995
Manx	29294	29289	29267	29285	29280
Hausa	31582	31574	31528	31568	31560
Hakka	29107	29103	29024	29105	29101
Hawaiian	25415	25365	25394	25365	25364
Hebrew	131837	127217	126939	131109	126559
Hindi	26996	26918	26392	26684	26621
Fiji Hindi	26857	26855	26824	26849	26847
Fiji Hindi in Latin script	25624	25621	25603	25624	25621
Hiligaynon	1359	1356	1358	1359	1356
Hiri Motu	25716	25713	25695	25716	25713
Croatian	200206	199779	199444	199986	199561
Hunsrik	1707	1707	1704	1707	1707
Upper Sorbian	70568	70526	70436	70358	70325
Haitian Creole	38536	38522	38465	38407	38399
Hungarian	788714	779595	735728	780966	772939
formal Hungarian	2	2	2	2	2
Armenian	64841	64717	63689	64443	64330
Western Armenian	2225	2222	2170	2196	2193
Herero	25663	25660	25642	25663	25660
Interlingua	111583	111508	111465	111571	111496
Indonesian	298411	297612	297200	297237	296457
Interlingue	111191	111118	111086	111184	111111
Igbo	27131	27126	27092	27127	27122
Nuosu	178	178	178	178	178
Inupiat	25725	25722	25704	25725	25722
Eastern Canadian (Aboriginal syllabics)	611	610	610	611	610
Eastern Canadian in Latin script	25538	25535	25517	25538	25535
Ilocano	31238	31225	31134	31236	31223
Ingush	218	216	190	218	216
Ido	114256	114168	114104	114250	114162
Icelandic	132009	131961	131770	131978	131930
Italian	1904988	1894067	1895249	1900283	1889854
Inuktitut	23261	23261	23244	23261	23261
Japanese	464223	464168	460431	451684	451630
Jamaican Creole	77423	77355	77355	77420	77352
Lojban	26051	26039	26029	26051	26039
Jutlandic	1206	1205	1206	1206	1205
Javanese	87240	87226	87064	87204	87190
Georgian	24794	24781	24011	24193	24181
Karakalpak	26367	26362	26336	26367	26362
Kabyle	77308	77241	77229	77305	77238
Kabardian	353	353	336	353	353
Kabardian in Cyrillic script	177	177	177	177	177
Kabiye	670	670	656	670	670
Cape Verdean Creole	355	355	355	355	355
Kongo	105620	105547	105525	105617	105544
Khowar	179	179	179	179	179
Gikuyu	25728	25725	25707	25728	25725
Kirmanjki	189	189	189	189	189
Kwanyama	24754	24754	24734	24754	24754
Eastern Pwo	6	6	6	6	6
Kazakh	12621	12429	10872	12559	12376
Kazakh Arabic alphabets	1617	1617	1345	1616	1616
Kazakh in China	990	990	826	989	989
Kazakh in Cyrillic script	1733	1708	1494	1732	1707
Kazakh in Kazakhstan	1418	1409	1281	1417	1408
Kazakh in Latin script	26944	26931	26687	26943	26930
Kazakh in Turkey	24732	24724	24573	24731	24723
Greenlandic	41810	41805	41779	41809	41804
Khmer	846	845	823	844	843
Kannada	8616	8535	7855	8565	8485
Korean	122976	122934	107611	121056	121014
North Korean standard language	194	194	192	194	194
Permyak	278	275	218	278	275
Kanuri	24770	24769	24750	24770	24769
Karachay-Balkar	240	230	209	240	230
Krio	362	362	362	362	362
Kinaray-a	23358	23358	23341	23358	23358
Karelian	336	336	336	336	336
Kashmiri	299	299	293	299	299
Kashmiri in Arabic script	177	177	177	177	177
Kashmiri in Devanagari script	178	178	178	178	178
Ripuarian	29248	29239	29216	29245	29236
Kurdish	27342	27333	27273	27326	27321
Kurdish Arabic alphabet	936	936	923	936	936
Kurdish in Latin script	24367	24366	24335	24367	24366
Kumyk	2	2	2	2	2
Komi	352	346	222	352	346
Cornish	24890	24886	24862	24889	24885
Kyrgyz	3341	2736	1946	3324	2721
Latin	66516	66443	65825	66346	66275
Judaeo-Spanish	27950	27949	27920	27950	27949
Luxembourgish	204150	203645	203843	204002	203500
Lak	227	220	216	227	220
Lezgian	998	996	897	998	996
Lingua Franca Nova	31392	31383	31364	31391	31382
Luganda	24208	24208	24187	24208	24208
Limburgish	152391	152089	152236	152341	152041
Ligurian	132772	132696	132625	132760	132684
Livonian	1549	1549	1546	1549	1549
Laki	823	823	823	823	823
Ladin	151	150	142	148	147
Lombard	61110	61097	60950	61091	61078
Lingala	25249	25249	25199	25249	25249
Lao	21654	21654	21619	21651	21651
Lozi	23239	23239	23222	23239	23239
Northern Luri	383	383	371	383	383
Lithuanian	182293	181955	181804	181876	181540
Latgalian	24743	24737	24717	24743	24737
Mizo	23231	23231	23214	23231	23231
Southern Luri	11158	11158	11145	11158	11158
Latvian	92283	92217	91896	92230	92166
Classical Chinese	408280	408280	408199	365658	365658
Laz	23190	23190	23173	23190	23190
Madurese	1963	1962	1963	1963	1962
Maithili	3979	3977	3950	3964	3962
Banyumasan	75648	75642	75554	75631	75625
Moksha	275	240	232	275	240
Malagasy	131901	131814	131674	131852	131765
Marshallese	22648	22648	22629	22648	22648
Meadow Mari	736	630	624	736	630
Māori	37825	37809	37796	37824	37808
Minangkabau	156720	156641	156541	156698	156619
Macedonian	17574	17488	17107	17453	17367
Malayalam	24418	24381	23999	24316	24279
Mongolian	6576	6489	6100	6566	6479
Meitei	12	12	12	12	12
Mon language spelling	55	55	46	50	50
Moldovan	22157	22156	22123	22157	22156
Marathi	14111	13961	13735	14035	13887
Hill Mari	483	376	368	483	376
Malay	141918	141737	141397	141790	141611
Maltese	60439	60423	60261	60355	60343
Muscogee	25162	25161	25142	25162	25161
Mirandese	28023	28011	27983	28023	28011
Burmese	23965	23965	23479	23804	23804
Erzya	2069	1650	1611	2062	1647
Mazanderani	2441	2441	2376	2437	2437
Nauruan Wikiquote	25047	25047	25027	25047	25047
Nahuatl	27113	27110	27084	27112	27109
Southern Min	8454	8450	7430	8427	8423
Neapolitan	131169	131093	131034	131158	131082
Bokmål	1225725	1222968	1222436	1221607	1219590
Low German	287568	286887	287140	287175	286512
Dutch Low Saxon	162971	162873	162735	162751	162666
Nepali	6294	6292	6192	6229	6227
Newar	1082	1080	1046	1073	1071
Ndonga	24646	24646	24626	24646	24646
Nias	1	1	1	1	1
Niuean	325	325	325	325	325
Dutch	7130595	7080411	7105747	7096474	7049763
informal Dutch	6	6	6	6	6
Nynorsk	852543	852369	851145	852361	852190
Norwegian	388	388	388	388	388
Northern Thai	170	170	170	170	170
Novial	26216	26215	26194	26215	26214
N'Ko	263	263	253	263	263
Norman	109319	109243	109216	109316	109240
Northern Sotho	24796	24796	24773	24796	24796
Navajo	24809	24807	24780	24808	24806
Chewa	24818	24816	24798	24817	24815
Noongar	3945	3942	3938	3945	3942
Occitan	168121	167988	167862	168096	167963
Livvi-Karelian	2339	2337	2331	2339	2337
Oromo	24681	24681	24660	24681	24681
Odia	9125	9118	9069	9119	9112
Ossetian	867	619	413	866	618
Ottoman Turkish	203	203	199	203	203
Eastern Punjabi	10310	10301	10143	10196	10188
Pangasinan	25165	25162	25142	25165	25162
Kapampangan	26272	26265	26241	26268	26261
Papiamento	76804	76738	76728	76780	76715
Picard	135808	135679	135669	135795	135666
Pennsylvania German	30655	30650	30626	30652	30647
Plautdietsch	24979	24977	24961	24976	24974
Palatinate German	55335	55313	55230	55120	55108
Pali	3494	3492	3487	3494	3492
Pitkern	25167	25166	25147	25167	25166
Polish	729072	723653	724870	710897	707359
Piedmontese	139825	139745	139636	139801	139721
Western Punjabi	7648	7648	7223	7561	7561
Pontic Greek	899	899	899	899	899
Old Prussian	74528	74463	74468	74526	74461
Pashto	1848	1848	1723	1843	1843
Portuguese	1376697	1367636	1369298	1362407	1354395
Brazilian Portuguese	287235	285804	285744	286288	284861
Quechua	30821	30817	30757	30816	30812
Kichwa	23388	23388	23369	23388	23388
Romagnol	52714	52650	52672	52712	52648
Riffian	23361	23361	23343	23361	23361
Romansh	164184	164091	164049	164164	164072
Finnish Kalo	591	591	581	591	591
Romani	25507	25507	25484	25507	25507
Kirundi	24825	24824	24805	24825	24824
Romanian	305145	304341	304000	304742	303942
Tarantino	25147	25145	25125	25147	25145
Russian	703920	357749	360634	698331	354480
Rusyn	776	769	753	766	759
Aromanian	26372	26370	26350	26372	26370
Megleno-Romanian	1268	1268	1268	1268	1268
Megleno-Romanian in Cyrillic script	189	189	189	189	189
Megleno-Romanian in Latin script	24588	24588	24568	24588	24588
Kinyarwanda	24989	24989	24965	24988	24988
Marwari (India)	162	162	162	162	162
Sanskrit	2310	2310	2233	2301	2301
Sakha	1224	1182	759	1209	1167
Santali	24567	24547	24509	24545	24525
Sardinian	143296	143217	143152	143279	143200
Sicilian	135541	135460	135355	135528	135447
Scots	164925	163544	164687	164750	163390
Sindhi	1363	1363	1260	1351	1351
Sassarese	23674	23674	23657	23674	23674
Southern Kurdish	151	151	151	151	151
Northern Sami	48437	48429	48374	48434	48426
Seri	23608	23606	23583	23608	23606
Koyraboro Senni	165	165	165	165	165
Sango	24775	24775	24755	24775	24775
Samogitian	25468	25467	25427	25465	25464
Serbo-Croatian	59304	59126	58815	59072	58897
Tashelhit	622	622	622	622	622
Tachelhit in Latin script	24583	24583	24563	24583	24583
Tachelhit in Tifinagh script	177	177	177	177	177
Shan	215	215	207	207	207
Shawiya in Latin script	18	18	17	18	18
Sinhala	2146	2138	1990	2138	2130
Simple English	6865	6864	6853	6853	6852
Kildin Sami	326	326	326	326	326
Pite Sami	17838	17838	17811	17838	17838
Ume Sami	590	590	575	590	590
Slovak	304960	304817	304217	304577	304435
Saraiki	24	24	20	24	24
Saraiki in Arabic script	3	3	2	3	3
Slovene	2386865	2384533	2381850	2386521	2384198
Silesian German	23560	23559	23543	23560	23559
Samoan	24851	24851	24825	24851	24851
Southern Sami	41893	41893	41845	41893	41893
Lule Sami	19080	19080	19049	19080	19080
Inari Sami	792	792	772	791	791
Skolt Sami	711	711	691	711	711
Shona	25820	25817	25798	25820	25817
Somali	25571	25569	25529	25569	25567
Albanian	2516901	2504822	2514994	2514084	2502117
Serbian	42948	42675	42132	42523	42292
Serbian written in Cyrillic	10834	10794	10648	10832	10792
Serbian written in Latin script	98208	98111	97952	98204	98107
Sranan Tongo	27060	27058	27026	27038	27037
Sirionó	493	492	493	493	492
Swazi	22911	22910	22892	22911	22910
Sesotho	25040	25039	25018	25040	25039
Saterland Frisian	30351	30348	30323	30351	30348
Siberian Tatar	6	6	6	6	6
Sundanese	78567	78558	78462	78544	78535
Swedish	1404723	1397601	1399319	1394620	1388350
Swahili	128990	128883	128596	128968	128862
Silesian	28592	28589	28561	28591	28588
Sakizaya	623	623	611	622	622
Tamil	24753	24624	23724	24257	24220
Atayal	29	29	29	29	29
Tulu	547	546	535	547	546
Telugu	13685	13656	13090	13623	13594
Tetum	49655	49651	49564	49654	49650
Tajik	47167	47041	46729	47156	47030
Tajik in Cyrillic script	289	289	287	289	289
Tajik in Latin script	25036	25035	24998	25036	25035
Thai	26413	26409	25474	26249	26245
Tigrinya	33	33	32	33	33
Turkmen	24251	24250	24183	24250	24249
Tagalog	64021	63881	63737	63968	63828
Talysh	182	182	182	182	182
Tswana	24839	24838	24818	24839	24838
Tongan	25043	25042	25020	25038	25037
Tok Pisin	26174	26171	26153	26174	26171
Turkish	238523	238310	236163	237558	237359
Turoyo	23185	23185	23168	23185	23185
Tsonga	24814	24814	24794	24814	24814
Tatar	30574	30564	30248	30520	30510
Tatar in Cyrillic script	813	812	803	808	807
Tatar in Latin script	24598	24598	24578	24598	24598
Tumbuka	24863	24862	24843	24863	24862
Twi	22895	22894	22876	22894	22893
Tahitian	59114	59094	59073	59110	59090
Tuvan	945	414	398	942	414
Central Atlas Tamazight	4	4	3	4	4
Udmurt	461	271	274	460	270
Uyghur	733	733	682	725	725
Uyghur Arabic alphabet	237	237	224	237	237
Uyghur Latin alphabet	24597	24597	24577	24597	24597
Ukrainian	163745	163147	122257	161004	160469
Urdu	19506	19506	18459	19240	19240
Uzbek	33170	32971	31322	33128	32929
Uzbek Cyrillic alphabet	1	1	1	1	1
Uzbek Latin alphabet	5	5	5	5	5
Venda	24970	24970	24950	24970	24970
Venetian	136835	136756	136646	136817	136738
Veps	25759	25759	25150	25758	25758
Vietnamese	172433	171544	166840	170434	170032
West Flemish	134256	134174	134094	134237	134155
Main-Franconian	80289	80221	80215	80284	80216
Volapük	110963	110869	110869	110886	110807
Votic	24508	24508	24488	24508	24508
Võro	2286	2285	2074	2285	2284
Walloon	138620	138540	138433	138606	138526
Waray	44554	44524	44430	44543	44513
Wolof	105807	105732	105715	105804	105729
Wu Chinese	9709	9708	9674	9483	9482
Kalmyk Oirat	258	241	216	258	241
Xhosa	25306	25305	25284	25306	25305
Mingrelian	2483	2482	2455	2473	2472
Yiddish	2918	2910	2804	2905	2897
Yoruba	34881	34801	34762	34863	34783
Cantonese	23042	23040	22997	22915	22913
Zhuang	24761	24761	24736	24760	24760
Zeelandic	30541	30534	30507	30541	30534
Standard Moroccan Berber	4	4	4	4	4
Chinese	723842	721457	722388	677797	675416
Putonghua	55838	55830	55580	54767	54759
Simplified Chinese	88574	88565	88536	88546	88537
Traditional Chinese	550933	550919	550500	507156	507143
Chinese (Hong Kong)	39084	39083	39080	39076	39075
Chinese in Macau	5142	5141	5142	5140	5139
Malaysian Mandarin	5178	5177	5178	5177	5176
Singaporean Mandarin	19320	19319	19319	19318	19317
