language_long	num_permuted_remove_parenthesis_permute_comma	num_surviving_remove_parenthesis_permute_comma
global	1002252	70238713
Afar	6	25915
Abkhaz	26	360
Ambonese	0	3
Acehnese	45	82591
Adyghe	0	189
Adyghe in Cyrillic script	0	151
Tunisian Arabic	0	163
Tunisian Arabic in Arabic script	5	2477
Tunisian Arabic in Latin script	0	1448
Afrikaans	2443	207517
Akan Wiktionary	10	26540
Gheg Albanian	1	23643
Swiss German	4	126
Amharic	3	1461
Aragonese	340	181058
Old English	7	28373
Angika	0	182
Arabic	4476	521236
Aramaic	1	311
Mapudungun	0	23482
Algerian Arabic	0	463
Moroccan Arabic	6	5053
Egyptian Arabic	8261	638435
Assamese	11	4457
Asturian	8933	4255581
Atikamekw	2	776
Avaric	6	339
Kotava	8	1138
Awadhi	3	274
Aymara	3	27460
Azerbaijani	386	57231
South Azerbaijani	4081	75068
Bashkir language	96	7012
Balinese	2	637
Bavarian	614	214669
Toba Batak	0	285
Batak Toba in Latin script	0	1449
Southern Balochi	0	189
Central Bikol	37	27704
Belarusian	581	35959
Taraškievica	60	16872
Bulgarian	2607	61012
Western Balochi	0	151
Bhojpuri	11	1895
Bislama Wiktionary	3	26459
Banjar	27	75891
Bambara	68	76725
Bengali	627	59678
Tibetan	0	967
Bishnupriya Manipuri	1	307
Bakhtiari	0	190
Breton	309	194875
Brahui language	0	23199
Bosnian	412	68065
Mandailing	0	2
Rinconada Bikol	0	335
Buginese	21	51738
Russia Buriat	11	477
Catalan	9401	2234276
Zamboanga Chavacano	4	26179
Min Dong	3	26350
Chechen	628	1559
Cebuano	49	46392
Chamorro	3	25785
Choctaw	3	25709
Cherokee	0	23269
Cheyenne	3	25777
Sorani	14	5026
Corsican	200	203218
Capiznon	0	338
Cree Wikiquote	3	25612
Crimean Tatar	2	500
Crimean Tatar Cyrillic alphabet	0	184
Crimean Tatar Latin alphabet	6	26083
Czech	19396	646414
Kashubian	3	26914
Old Church Slavonic	0	21253
Chuvash	56	3696
Welsh	2099	410171
Danish	11576	1265045
Dagbani	0	131
German	14911	2997477
Austrian German	204	133634
Swiss Standard German	488	136916
formal address in German	1	10
Dinka	2	418
Zazaki	50	32838
Lower Sorbian	222	63548
Kadazandusun	4	24331
Doteli	0	1152
Dhivehi	9	428
Dzongkha	0	197
Ewe	6	33007
Emilian	6	3220
Modern Greek	1558	83300
Emilian-Romagnol	14	30362
English	111324	7697551
Canadian English	2806	174190
British English	2938	196112
Esperanto	1461	215717
Spanish	27042	4538124
Latin American Spanish	2	466
formal Spanish	0	36
Estonian	636	232070
Basque	545	269254
Extremaduran	13	33961
Persian	2109	203767
Fula	5	26154
Finnish	10437	973345
Meänkieli	6	28146
Fijian	4	26169
kven	0	2
Faroese	23	61700
French	9839	3069579
Louisiana French	69	54409
Franco-Provençal	79	110845
North Frisian	285	66235
Friulian	84	131570
West Frisian	167	51859
Irish	309	1547900
Gagauz	4	26050
Gan	0	682
simplified Gan	0	386
traditional Gan	0	378
Guianan Creole	3	123
Scottish Gaelic	221	139143
Galician	2336	413005
Gilaki	1	343
Guarani	4	26268
Goan Konkani	28	547
Goan Konkani in Devanagari script	12	181
Goan Konkani in Latin script	0	1500
Gorontalo	5	26391
Gothic	1	23498
Ancient Greek	1	1041
Alemannic	627	190546
Gujarati	14	3995
Manx	14	29280
Hausa	22	31560
Hakka	6	29101
Hawaiian	51	25364
Hebrew	5278	126559
Hindi	375	26621
Fiji Hindi	10	26847
Fiji Hindi in Latin script	3	25621
Hiligaynon	3	1356
Hiri Motu	3	25713
Croatian	644	199561
Hunsrik	0	1707
Upper Sorbian	243	70325
Haitian Creole	137	38399
Hungarian	15774	772939
formal Hungarian	0	2
Armenian	511	64330
Western Armenian	32	2193
Herero	3	25660
Interlingua	86	111496
Indonesian	1953	296457
Interlingue	79	111111
Igbo	9	27122
Nuosu	0	178
Inupiat	3	25722
Eastern Canadian (Aboriginal syllabics)	1	610
Eastern Canadian in Latin script	3	25535
Ilocano	15	31223
Ingush	2	216
Ido	93	114162
Icelandic	79	131930
Italian	15129	1889854
Inuktitut	0	23261
Japanese	12593	451630
Jamaican Creole	70	77352
Lojban	12	26039
Jutlandic	1	1205
Javanese	50	87190
Georgian	613	24181
Karakalpak	5	26362
Kabyle	69	77238
Kabardian	0	353
Kabardian in Cyrillic script	0	177
Kabiye	0	670
Cape Verdean Creole	0	355
Kongo	75	105544
Khowar	0	179
Gikuyu	3	25725
Kirmanjki	0	189
Kwanyama	0	24754
Eastern Pwo	0	6
Kazakh	245	12376
Kazakh Arabic alphabets	1	1616
Kazakh in China	1	989
Kazakh in Cyrillic script	26	1707
Kazakh in Kazakhstan	10	1408
Kazakh in Latin script	14	26930
Kazakh in Turkey	9	24723
Greenlandic	6	41804
Khmer	3	843
Kannada	131	8485
Korean	1962	121014
North Korean standard language	0	194
Permyak	3	275
Kanuri	1	24769
Karachay-Balkar	10	230
Krio	0	362
Kinaray-a	0	23358
Karelian	0	336
Kashmiri	0	299
Kashmiri in Arabic script	0	177
Kashmiri in Devanagari script	0	178
Ripuarian	12	29236
Kurdish	21	27321
Kurdish Arabic alphabet	0	936
Kurdish in Latin script	1	24366
Kumyk	0	2
Komi	6	346
Cornish	5	24885
Kyrgyz	620	2721
Latin	241	66275
Judaeo-Spanish	1	27949
Luxembourgish	649	203500
Lak	7	220
Lezgian	2	996
Lingua Franca Nova	10	31382
Luganda	0	24208
Limburgish	349	152041
Ligurian	87	132684
Livonian	0	1549
Laki	0	823
Ladin	4	147
Lombard	32	61078
Lingala	0	25249
Lao	3	21651
Lozi	0	23239
Northern Luri	0	383
Lithuanian	752	181540
Latgalian	6	24737
Mizo	0	23231
Southern Luri	0	11158
Latvian	117	92166
Classical Chinese	42622	365658
Laz	0	23190
Madurese	1	1962
Maithili	17	3962
Banyumasan	23	75625
Moksha	35	240
Malagasy	135	131765
Marshallese	0	22648
Meadow Mari	106	630
Māori	16	37808
Minangkabau	100	156619
Macedonian	207	17367
Malayalam	139	24279
Mongolian	97	6479
Meitei	0	12
Mon language spelling	5	50
Moldovan	1	22156
Marathi	224	13887
Hill Mari	107	376
Malay	306	141611
Maltese	96	60343
Muscogee	1	25161
Mirandese	12	28011
Burmese	161	23804
Erzya	422	1647
Mazanderani	4	2437
Nauruan Wikiquote	0	25047
Nahuatl	4	27109
Southern Min	31	8423
Neapolitan	86	131082
Bokmål	6134	1219590
Low German	1055	286512
Dutch Low Saxon	304	162666
Nepali	67	6227
Newar	11	1071
Ndonga	0	24646
Nias	0	1
Niuean	0	325
Dutch	80830	7049763
informal Dutch	0	6
Nynorsk	352	852190
Norwegian	0	388
Northern Thai	0	170
Novial	2	26214
N'Ko	0	263
Norman	78	109240
Northern Sotho	0	24796
Navajo	3	24806
Chewa	3	24815
Noongar	3	3942
Occitan	157	167963
Livvi-Karelian	2	2337
Oromo	0	24681
Odia	13	9112
Ossetian	249	618
Ottoman Turkish	0	203
Eastern Punjabi	122	10188
Pangasinan	3	25162
Kapampangan	11	26261
Papiamento	88	76715
Picard	141	135666
Pennsylvania German	8	30647
Plautdietsch	5	24974
Palatinate German	227	55108
Pali	2	3492
Pitkern	1	25166
Polish	21711	707359
Piedmontese	103	139721
Western Punjabi	87	7561
Pontic Greek	0	899
Old Prussian	66	74461
Pashto	5	1843
Portuguese	22299	1354395
Brazilian Portuguese	2373	284861
Quechua	9	30812
Kichwa	0	23388
Romagnol	65	52648
Riffian	0	23361
Romansh	111	164072
Finnish Kalo	0	591
Romani	0	25507
Kirundi	1	24824
Romanian	1202	303942
Tarantino	2	25145
Russian	349440	354480
Rusyn	17	759
Aromanian	2	26370
Megleno-Romanian	0	1268
Megleno-Romanian in Cyrillic script	0	189
Megleno-Romanian in Latin script	0	24588
Kinyarwanda	1	24988
Marwari (India)	0	162
Sanskrit	9	2301
Sakha	57	1167
Santali	42	24525
Sardinian	95	143200
Sicilian	93	135447
Scots	1534	163390
Sindhi	12	1351
Sassarese	0	23674
Southern Kurdish	0	151
Northern Sami	11	48426
Seri	2	23606
Koyraboro Senni	0	165
Sango	0	24775
Samogitian	4	25464
Serbo-Croatian	407	58897
Tashelhit	0	622
Tachelhit in Latin script	0	24583
Tachelhit in Tifinagh script	0	177
Shan	8	207
Shawiya in Latin script	0	18
Sinhala	16	2130
Simple English	13	6852
Kildin Sami	0	326
Pite Sami	0	17838
Ume Sami	0	590
Slovak	524	304435
Saraiki	0	24
Saraiki in Arabic script	0	3
Slovene	2667	2384198
Silesian German	1	23559
Samoan	0	24851
Southern Sami	0	41893
Lule Sami	0	19080
Inari Sami	1	791
Skolt Sami	0	711
Shona	3	25817
Somali	4	25567
Albanian	14783	2502117
Serbian	656	42292
Serbian written in Cyrillic	42	10792
Serbian written in Latin script	100	98107
Sranan Tongo	23	27037
Sirionó	1	492
Swazi	1	22910
Sesotho	1	25039
Saterland Frisian	3	30348
Siberian Tatar	0	6
Sundanese	32	78535
Swedish	16372	1388350
Swahili	127	128862
Silesian	4	28588
Sakizaya	1	622
Tamil	533	24220
Atayal	0	29
Tulu	1	546
Telugu	91	13594
Tetum	5	49650
Tajik	137	47030
Tajik in Cyrillic script	0	289
Tajik in Latin script	1	25035
Thai	168	26245
Tigrinya	0	33
Turkmen	2	24249
Tagalog	193	63828
Talysh	0	182
Tswana	1	24838
Tongan	6	25037
Tok Pisin	3	26171
Turkish	1163	237359
Turoyo	0	23185
Tsonga	0	24814
Tatar	64	30510
Tatar in Cyrillic script	6	807
Tatar in Latin script	0	24598
Tumbuka	1	24862
Twi	2	22893
Tahitian	24	59090
Tuvan	531	414
Central Atlas Tamazight	0	4
Udmurt	191	270
Uyghur	8	725
Uyghur Arabic alphabet	0	237
Uyghur Latin alphabet	0	24597
Ukrainian	3276	160469
Urdu	266	19240
Uzbek	241	32929
Uzbek Cyrillic alphabet	0	1
Uzbek Latin alphabet	0	5
Venda	0	24970
Venetian	96	136738
Veps	1	25758
Vietnamese	2400	170032
West Flemish	100	134155
Main-Franconian	72	80216
Volapük	155	110807
Votic	0	24508
Võro	2	2284
Walloon	93	138526
Waray	41	44513
Wolof	77	105729
Wu Chinese	227	9482
Kalmyk Oirat	17	241
Xhosa	1	25305
Mingrelian	11	2472
Yiddish	21	2897
Yoruba	98	34783
Cantonese	129	22913
Zhuang	1	24760
Zeelandic	7	30534
Standard Moroccan Berber	0	4
Chinese	48426	675416
Putonghua	1079	54759
Simplified Chinese	37	88537
Traditional Chinese	43790	507143
Chinese (Hong Kong)	9	39075
Chinese in Macau	3	5139
Malaysian Mandarin	2	5176
Singaporean Mandarin	3	19317
Taiwanese Mandarin	65	25655
Zulu	86	107014
