language_long	mca_remove_parenthesis
global	0.2634707292356301
Afar	0.01901932795802631
Abkhaz	1.2746113989637307
Ambonese	0.0
Acehnese	0.028849411878600125
Adyghe	0.6931216931216931
Adyghe in Cyrillic script	0.033112582781456956
Tunisian Arabic	0.11042944785276074
Tunisian Arabic in Arabic script	2.2614826752618855
Tunisian Arabic in Latin script	0.08770718232044199
Afrikaans	0.19101733663554962
Akan Wiktionary	0.023163841807909605
Gheg Albanian	0.014549145660632718
Swiss German	0.2230769230769231
Amharic	1.2629781420765027
Aragonese	0.18651253045788818
Old English	0.05155038759689923
Angika	0.0989010989010989
Arabic	1.1714969412910492
Aramaic	0.9134615384615384
Mapudungun	0.017843454560940296
Algerian Arabic	1.1079913606911447
Moroccan Arabic	1.5133425578177506
Egyptian Arabic	0.729203520665042
Assamese	0.5530438675022381
Asturian	0.1437493229005697
Atikamekw	0.056555269922879174
Avaric	1.7739130434782608
Kotava	0.525305410122164
Awadhi	0.5776173285198556
Aymara	0.05869715617376106
Azerbaijani	0.5996841210059531
South Azerbaijani	0.999153495306321
Bashkir language	6.0440348902644905
Balinese	0.3129890453834116
Bavarian	0.1273951031897549
Toba Batak	0.06315789473684211
Batak Toba in Latin script	0.08764665286404417
Southern Balochi	0.08465608465608465
Central Bikol	0.03648029991709023
Belarusian	2.499863163656267
Taraškievica	1.3486298133711316
Bulgarian	2.349313884216979
Western Balochi	0.033112582781456956
Bhojpuri	1.1107030430220357
Bislama Wiktionary	0.021313581739853375
Banjar	0.025830501330382782
Bambara	0.10965843240920396
Bengali	1.2311085316308763
Tibetan	1.671147880041365
Bishnupriya Manipuri	0.8766233766233766
Bakhtiari	0.12105263157894737
Breton	0.19035371751782934
Brahui language	0.014440277598172334
Bosnian	0.20834732830001315
Mandailing	0.0
Rinconada Bikol	0.05373134328358209
Buginese	0.03010104522884909
Russia Buriat	1.2151639344262295
Catalan	0.2077794620170372
Zamboanga Chavacano	0.02215177787113776
Min Dong	0.055970857207908016
Chechen	3.327846364883402
Cebuano	0.10945070088930041
Chamorro	0.01876841941988522
Choctaw	0.01827940261356565
Cherokee	0.0177489363530878
Cheyenne	0.01900698215671063
Sorani	1.6563492063492065
Corsican	0.13414250459644672
Capiznon	0.09763313609467456
Cree Wikiquote	0.01815342572711302
Crimean Tatar	1.2908366533864541
Crimean Tatar Cyrillic alphabet	0.10869565217391304
Crimean Tatar Latin alphabet	0.03783203649047491
Czech	0.3421486610294228
Kashubian	0.03161570754541739
Old Church Slavonic	0.023149672987342964
Chuvash	6.558901918976546
Welsh	0.08976641521333106
Danish	0.22098492818150414
Dagbani	0.09923664122137404
German	0.1791037542308627
Austrian German	0.10382701474917437
Swiss Standard German	0.16282640971150766
formal address in German	0.36363636363636365
Dinka	0.20476190476190476
Zazaki	0.06202870347847239
Lower Sorbian	0.15985573153520463
Kadazandusun	0.014464762687487158
Doteli	0.9149305555555556
Dhivehi	0.9496567505720824
Dzongkha	0.3604060913705584
Ewe	0.12392087965346985
Emilian	0.045567265964042154
Modern Greek	1.9950623394376488
Emilian-Romagnol	0.03779299446931788
English	0.06279841846616831
Canadian English	0.12031345341137653
British English	0.11459432303441347
Esperanto	0.3081021097901261
Spanish	0.11345633433702082
Latin American Spanish	0.6089743589743589
formal Spanish	0.19444444444444445
Estonian	0.2628767629541138
Basque	0.24169103666062514
Extremaduran	0.04788956260669924
Persian	1.0206386368493656
Fula	0.020413624374020414
Finnish	0.19991115917957433
Meänkieli	0.0552003410059676
Fijian	0.01956214419439881
kven	0.0
Faroese	0.049932764123584404
French	0.2126213459816108
Louisiana French	0.14991372664194721
Franco-Provençal	0.10124950416501388
North Frisian	0.1620414912808178
Friulian	0.10597475200145837
West Frisian	0.11842155845154347
Irish	0.029844807774660916
Gagauz	0.022184693329239273
Gan	0.6686217008797654
simplified Gan	0.3601036269430052
traditional Gan	0.3835978835978836
Guianan Creole	0.8571428571428571
Scottish Gaelic	0.12178898424270257
Galician	0.19163530689240887
Gilaki	0.8953488372093024
Guarani	0.02664433617539586
Goan Konkani	1.1721739130434783
Goan Konkani in Devanagari script	0.8082901554404145
Goan Konkani in Latin script	0.10933333333333334
Gorontalo	0.05209122594332475
Gothic	0.02149027618196519
Ancient Greek	1.5892514395393473
Alemannic	0.1857427565608114
Gujarati	1.2606635071090047
Manx	0.03198607223322182
Hausa	0.049268570704831864
Hakka	0.06434878207991204
Hawaiian	0.0223096596498131
Hebrew	1.4469989456677563
Hindi	1.4854422877463327
Fiji Hindi	0.04736195405294709
Fiji Hindi in Latin script	0.017951920074929753
Hiligaynon	0.03384841795437822
Hiri Motu	0.018743194898117904
Croatian	0.24797082989935315
Hunsrik	0.08728763913298183
Upper Sorbian	0.15672826210180252
Haitian Creole	0.08000311397135146
Hungarian	0.6026197108453899
formal Hungarian	0.0
Armenian	1.221202634135809
Western Armenian	1.4624719101123596
Herero	0.01823637142968476
Interlingua	0.10533957089853202
Indonesian	0.18730940652122918
Interlingue	0.10082741253709866
Igbo	0.02867568464118536
Nuosu	0.11797752808988764
Inupiat	0.0182312925170068
Eastern Canadian (Aboriginal syllabics)	0.057283142389525366
Eastern Canadian in Latin script	0.018169003054272066
Ilocano	0.04151994365836481
Ingush	1.1238532110091743
Ido	0.12648024156492058
Icelandic	0.16340552538084524
Italian	0.24328668549798083
Inuktitut	0.017626069386526805
Japanese	1.5780993186464265
Jamaican Creole	0.11221616594766345
Lojban	0.02667843844766036
Jutlandic	0.07213930348258707
Javanese	0.055020632737276476
Georgian	1.9184883439541824
Karakalpak	0.025865665415102213
Kabyle	0.11472441046735742
Kabardian	0.7308781869688386
Kabardian in Cyrillic script	0.0903954802259887
Kabiye	0.4373134328358209
Cape Verdean Creole	0.05070422535211268
Kongo	0.10012403071417074
Khowar	0.12849162011173185
Gikuyu	0.018851057213930347
Kirmanjki	0.08465608465608465
Kwanyama	0.018259675204007432
Eastern Pwo	1.1666666666666667
Kazakh	2.3090880278900245
Kazakh Arabic alphabets	2.580705009276438
Kazakh in China	2.3878787878787877
Kazakh in Cyrillic script	2.321407963069821
Kazakh in Kazakhstan	1.5740479548660085
Kazakh in Latin script	0.13546615201900236
Kazakh in Turkey	0.08891314895681708
Greenlandic	0.035111217412102366
Khmer	1.2364066193853427
Kannada	1.592966573816156
Korean	1.3396516393442623
North Korean standard language	0.1134020618556701
Permyak	1.841726618705036
Kanuri	0.018368994751715786
Karachay-Balkar	1.2291666666666667
Krio	0.08011049723756906
Kinaray-a	0.014384793218597482
Karelian	0.05357142857142857
Kashmiri	0.7959866220735786
Kashmiri in Arabic script	0.11864406779661017
Kashmiri in Devanagari script	0.11797752808988764
Ripuarian	0.03904540481400438
Kurdish	0.11063565211030649
Kurdish Arabic alphabet	0.9027777777777778
Kurdish in Latin script	0.03615545614971068
Kumyk	0.0
Komi	3.2869318181818183
Cornish	0.030936118923262354
Kyrgyz	4.5222987129601915
Latin	0.7397919297612604
Judaeo-Spanish	0.03445438282647585
Luxembourgish	0.15014523705724742
Lak	0.7444933920704846
Lezgian	1.4018036072144289
Lingua Franca Nova	0.034977064220183485
Luganda	0.018547587574355585
Limburgish	0.1151978476277971
Ligurian	0.111778927627268
Livonian	0.08908973531310523
Laki	0.05224787363304982
Ladin	0.5496688741721855
Lombard	0.17119947635411553
Lingala	0.03255574478197156
Lao	0.061466703611342016
Lozi	0.01411420456990404
Northern Luri	0.9686684073107049
Lithuanian	0.25094902683606524
Latgalian	0.023077233965161863
Mizo	0.014076019112392923
Southern Luri	0.017297006632012904
Latvian	0.33260730578763154
Classical Chinese	0.18873812089742334
Laz	0.013885295385942216
Madurese	0.019867549668874173
Maithili	1.099271173661724
Banyumasan	0.025618654822335024
Moksha	1.7127272727272727
Malagasy	0.13466262319939348
Marshallese	0.017749911691981632
Meadow Mari	1.5896739130434783
Māori	0.023662225042301185
Minangkabau	0.07816537879899693
Macedonian	1.2610105838170025
Malayalam	1.4708821361290851
Mongolian	1.1385340632603407
Meitei	1.9166666666666667
Mon language spelling	1.709090909090909
Moldovan	0.027395405515187075
Marathi	1.4811140245198782
Hill Mari	3.1656314699792962
Malay	0.14996793900660246
Maltese	0.20543026853521731
Muscogee	0.018996900087433433
Mirandese	0.057488491596188844
Burmese	0.24014187356561653
Erzya	1.8028032866118897
Mazanderani	1.733306022122081
Nauruan Wikiquote	0.019802770790913082
Nahuatl	0.04152989340906576
Southern Min	1.275490891885498
Neapolitan	0.10402689680409856
Bokmål	0.22842989123163127
Low German	0.1514151484697479
Dutch Low Saxon	0.16449039700558385
Nepali	1.3284080076263107
Newar	1.524029574861368
Ndonga	0.01829911547512781
Nias	0.0
Niuean	0.08923076923076922
Dutch	0.1735367591447163
informal Dutch	0.0
Nynorsk	0.14826952807017132
Norwegian	0.0979381443298969
Northern Thai	0.11176470588235295
Novial	0.028417760146475436
N'Ko	2.3954372623574143
Norman	0.10243509760515195
Northern Sotho	0.02012421358283594
Navajo	0.02233060582852997
Chewa	0.020871947779837214
Noongar	0.0806083650190114
Occitan	0.12938377349512253
Livvi-Karelian	0.17400598546387344
Oromo	0.020339532433856004
Odia	1.3178082191780822
Ossetian	5.0657439446366785
Ottoman Turkish	0.37438423645320196
Eastern Punjabi	1.087972841901067
Pangasinan	0.022690244387045498
Kapampangan	0.030374543239951278
Papiamento	0.11965678424019895
Picard	0.10521548962866421
Pennsylvania German	0.03421954004240744
Plautdietsch	0.019376276071900397
Palatinate German	0.17112135176651305
Pali	0.14109902690326273
Pitkern	0.02002622481821433
Polish	0.34033769048239537
Piedmontese	0.1440024602357249
Western Punjabi	2.2298640167364017
Pontic Greek	0.12235817575083426
Old Prussian	0.11292551692675137
Pashto	2.1926406926406927
Portuguese	0.25402740187725087
Brazilian Portuguese	0.2787065598083792
Quechua	0.1790662210830278
Kichwa	0.01599110655036771
Romagnol	0.15362434314116064
Riffian	0.014340139548820683
Romansh	0.0889617073631253
Finnish Kalo	0.0829103214890017
Romani	0.020896224565805466
Kirundi	0.018328298086606243
Romanian	0.3189641611829169
Tarantino	0.020877241818109515
Russian	4.198093533356063
Rusyn	0.9033505154639175
Aromanian	0.025557409373578036
Megleno-Romanian	0.04574132492113565
Megleno-Romanian in Cyrillic script	0.08465608465608465
Megleno-Romanian in Latin script	0.017813567593948268
Kinyarwanda	0.021329384929368922
Marwari (India)	0.04938271604938271
Sanskrit	1.7666666666666666
Sakha	3.6094771241830066
Santali	0.059062970651687224
Sardinian	0.10350675180571549
Sicilian	0.11740445624907776
Scots	0.18307220295408794
Sindhi	2.3521643433602346
Sassarese	0.014741910957168201
Southern Kurdish	0.033112582781456956
Northern Sami	0.039184920618535415
Seri	0.01711284310403253
Koyraboro Senni	0.030303030303030304
Sango	0.018284561049445005
Samogitian	0.057326841526621646
Serbo-Croatian	0.4365978686092001
Tashelhit	0.0594855305466238
Tachelhit in Latin script	0.018020583329943458
Tachelhit in Tifinagh script	0.0903954802259887
Shan	0.4
Shawiya in Latin script	0.8888888888888888
Sinhala	2.228331780055918
Simple English	0.0900218499635834
Kildin Sami	0.34662576687116564
Pite Sami	0.03442089920394663
Ume Sami	0.12033898305084746
Slovak	0.18009961994891116
Saraiki	4.458333333333333
Saraiki in Arabic script	2.6666666666666665
Slovene	0.15577755759123368
Silesian German	0.014855687606112054
Samoan	0.02132710957305541
Southern Sami	0.025398037858353425
Lule Sami	0.03857442348008386
Inari Sami	0.20959595959595959
Skolt Sami	0.16736990154711673
Shona	0.020139426800929512
Somali	0.04536388878025889
Albanian	0.045615240971035795
Serbian	1.1744900810282202
Serbian written in Cyrillic	1.152482924127746
Serbian written in Latin script	0.19123891372305438
Sranan Tongo	0.044124168514412414
Sirionó	0.06490872210953347
Swazi	0.021954519663043952
Sesotho	0.021405750798722045
Saterland Frisian	0.037890020098184575
Siberian Tatar	0.5
Sundanese	0.03167996741634529
Swedish	0.21734620800414603
Swahili	0.13733729232725272
Silesian	0.03619893676552882
Sakizaya	0.3097913322632424
Tamil	1.675514079101523
Atayal	0.0
Tulu	1.3418647166361974
Telugu	2.055316039459262
Tetum	0.03484039875138455
Tajik	0.7337121292429029
Tajik in Cyrillic script	0.47058823529411764
Tajik in Latin script	0.04717207221600895
Thai	2.7423238556771286
Tigrinya	1.1515151515151516
Turkmen	0.058306873943342545
Tagalog	0.1068711828931132
Talysh	0.08791208791208792
Tswana	0.021297153669632432
Tongan	0.03973166154214751
Tok Pisin	0.01975242607167418
Turkish	0.27332489246274977
Turoyo	0.013931421177485442
Tsonga	0.018940920448134117
Tatar	0.45813436253025447
Tatar in Cyrillic script	0.5965559655596556
Tatar in Latin script	0.01857874623953167
Tumbuka	0.019225354945099145
Twi	0.020528499672417558
Tahitian	0.04733227323476672
Tuvan	5.0433862433862435
Central Atlas Tamazight	0.75
Udmurt	3.5553145336225596
Uyghur	1.4392905866302865
Uyghur Arabic alphabet	0.45569620253164556
Uyghur Latin alphabet	0.01837622474285482
Ukrainian	3.0995877736724786
Urdu	2.2237260330154824
Uzbek	0.5919204100090443
Uzbek Cyrillic alphabet	0.0
Uzbek Latin alphabet	1.0
Venda	0.019543452142571086
Venetian	0.1280748936667787
Veps	0.17217283279630421
Vietnamese	0.3752783706040642
West Flemish	0.11285240773155562
Main-Franconian	0.11664258668792347
Volapük	0.09884464951965538
Votic	0.017994124367553453
Võro	0.7458442694663167
Walloon	0.13542155115821064
Waray	0.05204919872514252
Wolof	0.09969188892879421
Wu Chinese	1.2913791327634154
Kalmyk Oirat	1.6705426356589148
Xhosa	0.024144471666798388
Mingrelian	0.8397100281917036
Yiddish	1.460246744345442
Yoruba	0.0943493592500215
Cantonese	1.1524607238954951
Zhuang	0.02257582488590929
Zeelandic	0.049605448413607936
Standard Moroccan Berber	0.5
Chinese	0.7549396138936397
Putonghua	1.6140979261434865
Simplified Chinese	1.520841330412988
Traditional Chinese	0.5166490299183385
Chinese (Hong Kong)	1.3117388189540478
Chinese in Macau	0.9753014391287437
Malaysian Mandarin	0.9322132097334879
Singaporean Mandarin	1.367080745341615
Taiwanese Mandarin	1.4102255054432349
Zulu	0.09932773109243698
