lang_code	observed_scripts	language	orthography	is_subtag
aa	Common,Latin	Afar	Latin	False
ab	Cyrillic	Abkhaz	Cyrillic	False
abe		Abenaki	Latin	False
abq		Abaza	Cyrillic	False
abs	Latin	Ambonese	Latin	False
ace	Common,Latin	Acehnese	Latin	False
adx		Amdo Tibetan	Tibetan	False
ady	Cyrillic	Adyghe	Cyrillic	False
ady-cyrl	Latin	Adyghe in Cyrillic script	Cyrillic	True
aeb	Arabic	Tunisian Arabic	Arabic	False
aeb-arab	Arabic	Tunisian Arabic in Arabic script	Arabic	True
aeb-latn	Common,Latin	Tunisian Arabic in Latin script	Latin	True
af	Common,Latin	Afrikaans	Latin	False
agq	Latin	Aghem	Latin	False
ak	Common,Latin	Akan	Latin	False
akl		Aklan	Latin	False
akz		Alabama	Latin	False
aln	Common,Latin	Gheg Albanian	Latin	False
als	Latin	Swiss German	Latin	False
alt	Cyrillic	Altai	Cyrillic	False
am	Common,Ethiopic	Amharic	Ge'ez	False
ami	Latin	Amis	Latin	False
an	Common,Latin	Aragonese	Latin	False
ang	Common,Latin	Old English	Latin	False
anp	Devanagari	Angika	Tirhuta	False
aoc		Pemon	Latin	False
ar	Arabic,Common,Latin	Arabic	Arabic	False
arc	Syriac	Aramaic	Aramaic	False
arn	Common,Latin	Mapudungun	Latin	False
arq	Arabic	Algerian Arabic	Arabic	False
ary	Arabic,Common	Moroccan Arabic	Arabic	False
arz	Arabic,Common	Egyptian Arabic	Arabic	False
as	Bengali	Assamese	Assamese	False
ase	Latin	American Sign Language	Latin	False
ast	Common,Latin	Asturian	Latin	False
atj	Common,Latin	Atikamekw	Latin	False
av	Cyrillic	Avaric	Cyrillic	False
avk	Common,Latin	Kotava	Latin	False
awa	Devanagari	Awadhi	Devanagari	False
ay	Common,Latin	Aymara	Latin	False
az	Common,Latin	Azerbaijani	Latin	False
az-cyrl		Azerbaijani in Cyrillic	Cyrillic	True
azb	Arabic,Common	South Azerbaijani	Arabic	False
ba	Common,Cyrillic	Bashkir	Cyrillic	False
ban	Common,Latin	Balinese	Latin	False
ban-bali	Balinese	Balinese in Balinese script	Balinese	True
bar	Common,Latin	Bavarian	Latin	False
bat-smg		Samogitian	Latin	True
bbc	Common,Latin	Toba Batak	Latin, Batak	False
bbc-latn	Common,Latin	Batak Toba in Latin script	Latin	True
bcc	Common,Latin	Southern Balochi	Latin	False
bcl	Common,Latin	Central Bikol	Latin	False
bdr		West Coast Bajau	Latin	False
be	Common,Cyrillic	Belarusian	Cyrillic	False
be-tarask	Common,Cyrillic	Taraškievica	Cyrillic	True
be-x-old	Cyrillic	Taraškievica	Cyrillic	True
bej		Beja	Latin, Arabic	False
bfi		British Sign Language	Latin	False
bfq		Badaga	Tamil, Kannada, Malayalam	False
bg	Common,Cyrillic	Bulgarian	Cyrillic	False
bgn	Arabic	Western Balochi	Latin	False
bh	Devanagari	Bhojpuri	Devanagari	False
bi	Common,Latin	Bislama	Latin	False
bjn	Common,Latin	Banjar	Latin	False
bla		Blackfoot	Blackfoot, Latin	False
bm	Common,Latin	Bambara	Latin	False
bn	Bengali	Bengali	Bengali	False
bnn		Bunun	Latin	False
bo	Tibetan	Tibetan	Tibetan	False
bpy	Bengali	Bishnupriya Manipuri	Bengali	False
bqi	Arabic	Bakhtiari	Arabic	False
br	Common,Latin	Breton	Latin	False
brh	Common,Latin	Brahui	Arabic	False
brx		Bodo	Devanagari	False
bs	Common,Latin	Bosnian	Latin, Cyrillic	False
bsk		Burushaski	Arabic	False
bss		Kose	Latin	False
btm	Latin	Mandailing	Latin	False
bto	Common,Latin	Rinconada Bikol	Latin	False
bug	Common,Latin	Buginese	Latin	False
bxr	Cyrillic	Buryat	Cyrillic	False
bxr	Cyrillic	Russia Buriat	Cyrillic	False
byq		Basay	Latin	False
bzg		Babuza	Latin	False
bzs		Brazilian Sign Language	Latin	False
ca	Common,Latin	Catalan	Latin	False
cak		Kaqchikel	Latin	False
cal		Carolinian	Latin	False
cbk-zam	Common,Latin	Chavacano	Latin	True
cbk-zam	Common,Latin	Zamboanga Chavacano	Latin	True
ccp		Chakma	Chakma	False
ccp-beng		Chakma in Bengali script	Bengali	True
cdo	Common,Latin	Min Dong	CJK	False
ce	Common,Cyrillic	Chechen	Cyrillic	False
ceb	Common,Latin	Cebuano	Latin	False
ch	Common,Latin	Chamorro	Latin	False
chn		Chinook Jargon	Latin	False
cho	Common,Latin	Choctaw	Latin	False
chr	Cherokee,Common	Cherokee	Cherokee	False
chy	Common,Latin	Cheyenne	Latin	False
ckb	Arabic	Kurdish Wikipedia	Arabic	False
ckb	Arabic	Sorani	Arabic	False
ckt		Chukchi	Cyrillic	False
ckv		Kavalan	Latin	False
clc		Chilcotin	Latin	False
cnh		Hakha-Chin	Latin	False
cnr		Montenegrin	Latin	False
co	Common,Latin	Corsican	Latin	False
cop		Coptic	Coptic	False
cps	Common,Latin	Capiznon	Latin	False
cpx		Pu-Xian Min	CJK	False
cr	Common,Latin	Cree	Latin	False
crh	Common,Latin	Crimean Tatar	Cyrillic, Latin	False
crh-cyrl	Cyrillic	Crimean Tatar in Cyrillic	Cyrillic	True
crh-latn	Common,Latin	Crimean Tatar in Latin script	Latin	True
crl		Northern East Cree	Latin	False
crs		Seychellois Creole	Latin	False
cs	Common,Latin	Czech	Latin	False
csb	Common,Latin	Kashubian	Latin	False
ctg		Chittagonian	Bengali	False
cu	Cyrillic	Church Slavonic	Cyrillic	False
cu	Cyrillic	Old Church Slavonic	Cyrillic	False
cu	Cyrillic	Slavonic musical notation	Cyrillic	False
cu	Cyrillic	Slavonic documents	Cyrillic	False
cv	Common,Cyrillic,Latin	Chuvash	Cyrillic	False
cy	Common,Latin	Welsh	Latin	False
da	Common,Latin	Danish	Latin	False
dag	Latin	Dagbani	Latin	False
dar		Dargwa	Cyrillic	False
de	Common,Latin	German	Latin	False
de	Common,Latin	Hauptseite	Latin	False
de-at	Common,Latin	Austrian German	Latin	True
de-ch	Common,Latin	Swiss High German	Latin	True
de-formal	Latin	formal address in German	Latin	True
din	Common,Latin	Dinka	Latin	False
diq	Common,Latin	Zazaki	Latin	False
dlm		Dalmatian	Latin	False
dru		Rukai	Latin	False
dsb	Common,Latin	Lower Sorbian	Latin	False
dtp	Common,Latin	Kadazandusun	Latin	False
dty	Devanagari	Doteli	Devanagari	False
dua	Latin	Duala	Latin	False
dv	Thaana	Dhivehi	Thaana	False
dz	Tibetan	Dzongkha	Tibetan	False
ee	Common,Latin	Ewe	Latin	False
egl	Common,Latin	Emilian	Latin	False
el	Common,Greek,Latin	Modern Greek	Greek	False
el	Common,Greek,Latin	Greek	Greek	False
eml	Common,Latin	Emilian-Romagnol	Latin	False
en	Common,Latin	English	Latin	False
en-ca	Common,Latin	Canadian English	Latin	True
en-gb	Common,Latin	British English	Latin	True
en-simple		Simple English	Latin	True
en-us	Latin	American English	Latin	True
en-x-simple		Simple English	Latin	True
enm		Middle English	Latin	False
eo	Common,Latin	Esperanto	Latin	False
eo-hsistemo		System H	Latin	True
eo-xsistemo		System X	Latin	True
es	Common,Latin	Spanish	Latin	False
es-419	Common,Latin	Latin American Spanish	Latin	True
es-formal	Latin	formal Spanish	Latin	True
esu		Central Alaskan Yup'ik	Latin	False
et	Common,Latin	Estonian	Latin	False
ett		Etruscan	Etruscan alphabet	False
eu	Common,Latin	Basque	Latin	False
ext	Common,Latin	Extremaduran	Latin	False
eya		Eyak	Latin	False
fa	Arabic,Common	Persian	Arabic	False
fa-af		Dari	Arabic	True
ff	Common,Latin	Fula	Latin	False
fi	Common,Latin	Finnish	Latin	False
fit	Common,Latin	Meänkieli	Latin	False
fiu-vro		Võro	Latin	True
fj	Common,Latin	Fijian	Latin	False
fkv	Latin	Kven	Latin	False
fo	Common,Latin	Faroese	Latin	False
fon		Fon	Latin	False
fos		Siraya	Latin	False
fr	Common,Latin	French	Latin	False
fr-ca		Canadian French	Latin	True
frc	Common,Latin	Louisiana French	Latin	False
frm		Middle French	Latin	False
fro		Old French	Latin	False
frp	Common,Latin	Franco-Provençal	Latin	False
frr	Common,Latin	North Frisian	Latin	False
fuf		Pular	Latin	False
fur	Common,Latin	Friulian	Latin	False
fy	Common,Latin	West Frisian	Latin	False
ga	Common,Latin	Irish	Latin	False
gaa		Ga	Latin	False
gag	Common,Latin	Gagauz	Latin	False
gan	Common,Han	Gan	CJK	False
gan-hans	Common,Han	simplified Gan	CJK	True
gan-hant	Common,Han	traditional Gan	CJK	True
gcf		Guadeloupe-Martinique Creole French	Latin	False
gcr	Latin	Guianan Creole	Latin	False
gd	Common,Latin	Scottish Gaelic	Latin	False
gez		Ge'ez	Ge'ez	False
gil		Gilbertese	Latin	False
gkm		Medieval Greek	Greek	False
gl	Common,Latin	Galician	Latin	False
glk	Arabic	Gilaki	Latin	False
gmh		Middle High German	Latin	False
gml		Middle Low German	Latin	False
gn	Common,Latin	Guarani	Latin	False
goh		Old High German	Latin	False
gom	Devanagari,Kannada,Latin	Goan Konkani	Latin	False
gom-deva	Devanagari	Goan Konkani in Devanagari script	Devanagari	True
gom-latn	Common,Latin	Goan Konkani in Latin script	Latin	True
gor	Common,Latin	Gorontalo	Latin	False
got	Gothic,Latin	Gothic	Gothic	False
grc	Common,Greek,Latin	Ancient Greek	Greek	False
gsg		German Sign Language	Latin	False
gsw	Common,Latin	Alemannic	Latin	False
gsw-fr		Alsatian	Latin	True
gu	Gujarati	Gujarati	Gujarati	False
guc	Latin	Wayuu	Latin	False
guw		Gun	Latin	False
gv	Common,Latin	Manx	Latin	False
ha	Common,Latin	Hausa	Latin	False
hai		Haida	Latin	False
hak	Common,Latin	Hakka	CJK	False
haw	Common,Latin	Hawaiian	Latin	False
hbo		Biblical Hebrew	Hebrew	False
he	Common,Hebrew	Hebrew	Hebrew	False
hi	Common,Devanagari	Hindi	Devanagari	False
hif	Common,Latin	Fiji Hindi	Devanagari	False
hif-latn	Common,Latin	Fiji Hindi in Latin script	Latin	True
hil	Common,Latin	Hiligaynon	Latin	False
ho	Common,Latin	Hiri Motu	Latin	False
hoc		Ho	Warang Citi	False
hr	Common,Latin	Croatian	Latin	False
hrx	Common,Latin	Hunsrik	Latin	False
hsb	Common,Latin	Upper Sorbian	Latin	False
ht	Common,Latin	Haitian Creole	Latin	False
hu	Common,Latin	Hungarian	Latin	False
hu-formal	Latin	formal Hungarian	Latin	True
hy	Armenian,Common	Armenian	Armenian	False
hyw	Armenian,Common	Western Armenian	Armenian	False
hz	Common,Latin	Herero	Latin	False
ia	Common,Latin	Interlingua	Latin	False
id	Common,Latin	Indonesian	Latin	False
ie	Common,Latin	Interlingue	Latin	False
ig	Common,Latin	Igbo	Latin	False
ii	Yi	Nuosu	Yi	False
ik	Common,Latin	Inupiaq	Latin	False
ike-cans	Canadian_Aboriginal	Eastern Canadian (Aboriginal syllabics)	Aboriginal syllabics	True
ike-latn	Common,Latin	Eastern Canadian in Latin script	Latin	True
ilo	Common,Latin	Ilocano	Latin	False
inh	Cyrillic	Ingush	Cyrillic	False
ins		Indian Sign Language	Latin	False
io	Common,Latin	Ido	Latin	False
is	Common,Latin	Icelandic	Latin	False
it	Common,Latin	Italian	Latin	False
iu	Canadian_Aboriginal	Inuktitut	Inuktitut	False
ja	Common,Han,Hiragana,Katakana,Latin	Japanese	CJK	False
ja-hani		Japanese written in kanji	CJK	True
ja-hira		Japanese written in hiragana	Hiragana	True
ja-hrkt		Japanese written in kana	Hiragana,Katakana	True
ja-kana		Japanese written in katakana	Katakana	True
jam	Common,Latin	Jamaican Creole	Latin	False
jax		Jambi Malay	Latin	False
jbo	Common,Latin	Lojban	Latin	False
jut	Common,Latin	Jutlandic	Latin	False
jv	Common,Latin	Javanese	Latin	False
ka	Common,Georgian,Latin	Georgian	Georgian	False
ka	Common,Georgian,Latin	მთავარი გვერდი	Georgian	False
kaa	Common,Latin	Karakalpak	Cyrillic, Latin	False
kab	Common,Latin	Kabyle	Tifinagh,Latin	False
kae		Ketagalan	Latin	False
kbd	Cyrillic	Kabardian	Cyrillic	False
kbd-cyrl	Latin	Kabardian in Cyrillic script	Cyrillic	True
kbg		Khamba	Latin	False
kbp	Common,Latin	Kabiye	Latin	False
kcg	Latin	Tyap	Latin	False
kea	Common,Latin	Cape Verdean Creole	Latin	False
kg	Common,Latin	Kongo	Latin	False
kha		Khasi	Latin	False
khg		Khams Tibetan	Tibetan	False
khw	Arabic	Khowar	Arabic	False
ki	Common,Latin	Gikuyu	Latin	False
kiu	Common,Latin	Kirmanjki	Latin	False
kj	Common,Latin	Kwanyama	Latin	False
kjh		Khakas	Latin	False
kjp	Myanmar	Eastern Pwo	Burmese	False
kk	Common,Cyrillic	Kazakh	Cyrillic, Latin	False
kk-arab	Arabic	Kazakh in Arabic script	Arabic	True
kk-cn	Arabic	Kazakh in China	Arabic	True
kk-cyrl	Cyrillic	Kazakh in Cyrillic script	Cyrillic	True
kk-kz	Cyrillic	Kazakh in Kazakhstan	Cyrillic, Latin	True
kk-latn	Common,Latin	Kazakh in Latin script	Latin	True
kk-tr	Common,Latin	Kazakh in Turkey	Cyrillic	True
kl	Common,Latin	Greenlandic	Latin	False
km	Common,Khmer	Khmer	Khmer	False
kn	Kannada	Kannada	Kannada	False
ko	Common,Hangul,Latin	Korean	Korean	False
ko-kp	Common,Hangul	North Korean standard language	Korean	True
ko-kr		South Korean standard language	Korean	True
koi	Cyrillic	Permyak	Cyrillic	False
koy		Koyukon	Latin	False
kr	Common,Latin	Kanuri	Arabic, Latin	False
krc	Cyrillic	Karachay-Balkar	Cyrillic	False
kri	Common,Latin	Krio	Latin	False
krj	Common,Latin	Kinaray-a	Latin	False
krl	Common,Latin	Karelian	Cyrillic, Latin	False
krx		Karon	Latin	False
ks	Arabic,Devanagari	Kashmiri	Arabic,Devanagari	False
ks-arab	Arabic	Kashmiri in Arabic script	Arabic	True
ks-deva	Latin	Kashmiri in Devanagari script	Devanagari	True
ksh	Common,Latin	Kölsch	Latin	False
ksh	Common,Latin	Ripuarian	Latin	False
ksw		S'gaw Karen	Latin	False
ku	Common,Latin	Kurdish Wikipedia	Arabic	False
ku	Common,Latin	Kurmanji	Arabic	False
ku	Common,Latin	Kurdish	Arabic	False
ku-arab	Arabic,Common	Kurdish in Arabic script	Arabic	True
ku-latn	Common,Latin	Kurdish in Latin script	Latin	True
kum	Cyrillic	Kumyk	Cyrillic	False
kut		Kutenai	Latin	False
kv	Cyrillic	Komi	Cyrillic	False
kw	Common,Latin	Cornish	Latin	False
ky	Common,Cyrillic	Kyrgyz	Cyrillic, Arabic	False
ky-arab		Kyrgyz in Arabic script	Cyrillic	True
ky-cyrl		Kyrgyz in Cyrillic script	Arabic	True
la	Common,Latin	Latin	Latin	False
lad	Common,Latin	Judaeo-Spanish	Latin	False
lag		Rangi	Latin	False
lb	Common,Latin	Luxembourgish	Latin	False
lbe	Cyrillic	Lak	Cyrillic	False
